Total Population,Did Not Grad HS,Grad HS or Higher,Bachelor Degree or Higher,households,NTA,Median Household Income,Total Pop 25 and over,Pct Did Not Grad HS,Pct Grad HS or Higher,Pct Bachelor Degree or Higher,graduation_rate_2014,college_career_rate_2014
69299,3471,52777,40435,39072,Hudson Yards-Chelsea-Flatiron-Union Square,1493443.0,56248,0.061708860759493674,0.9382911392405063,0.7188700042668184,0.9166666666666666,0.7416666666666667
26075,711,20271,16492,14877,Gramercy,390330.0,20982,0.0338861881612811,0.9661138118387189,0.7860070536650462,0.8280000000000001,0.708
39680,9148,14258,2557,12795,West Concourse,207197.0,23406,0.39083995556694867,0.6091600444330514,0.1092454926087328,0.595,0.46499999999999997
70095,9688,30338,9385,24225,Bedford,702984.0,40026,0.24204267226302903,0.757957327736971,0.23447259281467048,0.98,0.79
25964,1957,16032,6789,8110,Bellerose,475335.0,17989,0.10878870420812718,0.8912112957918729,0.37739729834899105,0.72,0.595
43755,2632,29411,21682,22306,East Village,518245.0,32043,0.08213962487906876,0.9178603751209312,0.6766532471990763,0.82,0.69
80046,13759,38998,9011,22031,South Ozone Park,1484630.0,52757,0.26079951475633567,0.7392004852436643,0.17080197888431867,0.55,0.34
34293,4073,17624,3719,10364,Baisley Park,970284.0,21697,0.18772180485781445,0.8122781951421856,0.17140618518689218,0.74,0.5
64331,9830,31170,8847,24360,Stuyvesant Heights,669067.0,41000,0.2397560975609756,0.7602439024390244,0.21578048780487805,0.72,0.38
71247,15225,29166,8026,24164,Bushwick South,840415.0,44391,0.3429749273501385,0.6570250726498614,0.18080241490392196,0.632,0.44800000000000006
29848,2802,19250,10730,12741,Spuyten Duyvil-Kingsbridge,638759.0,22052,0.1270633049156539,0.8729366950843461,0.4865771812080537,0.9,0.58
63504,14870,23859,5325,21343,East Concourse-Concourse Village,401452.0,38729,0.38395001161920006,0.6160499883807999,0.13749386764440083,0.6212500000000001,0.43500000000000005
39020,9340,12007,1902,12776,Melrose South-Mott Haven North,206117.0,21347,0.43753220593057573,0.5624677940694243,0.08909917084367827,0.7575,0.4375
32828,4287,8642,1000,8299,Williamsburg,151570.0,12929,0.33158016861319517,0.6684198313868048,0.07734550235903782,0.615,0.33999999999999997
46070,6504,25270,15171,19172,North Side-South Side,736085.0,31774,0.20469566312079057,0.7953043368792094,0.4774658525838736,0.7749999999999999,0.49000000000000005
28097,1674,18950,9288,11235,Oakland Gardens,463400.0,20624,0.08116757176105509,0.918832428238945,0.4503491078355314,0.84,0.76
51514,4207,28366,13730,18430,Midwood,989513.0,32573,0.12915604948884046,0.8708439505111596,0.4215147514812882,0.81,0.67
22571,1579,14748,9118,9510,Windsor Terrace,492431.0,16327,0.09671096955962516,0.9032890304403748,0.5584614442334783,0.99,0.9
71085,12640,36093,17719,25490,Washington Heights North,549953.0,48733,0.259372499127901,0.7406275008720989,0.36359345823158845,0.61,0.395
21208,1358,13245,4035,7881,New Dorp-Midland Beach,370793.0,14603,0.09299459015270835,0.9070054098472916,0.27631308635211943,0.89,0.765
29933,3931,15335,3172,10222,Erasmus,285001.0,19266,0.2040382020139105,0.7959617979860895,0.16464237516869096,0.744,0.488
70166,11655,34160,8745,23963,Ridgewood,,45815,0.25439266615737205,0.745607333842628,0.1908763505402161,0.58,0.38
74243,18158,36782,16902,30216,Lower East Side,635184.0,54940,0.3305060065526028,0.6694939934473971,0.30764470331270477,0.7949999999999999,0.6875
26839,1490,16969,10952,10909,North Riverdale-Fieldston-Riverdale,,18459,0.08071943225526844,0.9192805677447315,0.5933149141340268,0.83,0.61
39422,3777,25487,17034,17628,Carroll Gardens-Columbia Street-Red Hook,1005602.0,29264,0.12906642974302898,0.870933570256971,0.5820803717878622,0.9,0.7
35373,4182,21797,13914,15085,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1003599.0,25979,0.16097617306285847,0.8390238269371415,0.5355864351976597,0.7412500000000001,0.53
36413,2736,21954,12890,14937,Clinton Hill,601196.0,24690,0.11081409477521263,0.8891859052247874,0.5220737140542729,0.865,0.625
27759,5272,15125,4710,11068,Gravesend,318003.0,20397,0.25846938275236553,0.7415306172476345,0.23091631122223857,0.7433333333333333,0.4566666666666667
83821,8827,51312,25866,34990,Bay Ridge,1669952.0,60139,0.14677663413093,0.85322336586907,0.4301035933420908,0.775,0.6399999999999999
105094,13971,53651,18634,37482,Flatbush,1223438.0,67622,0.20660435952796427,0.7933956404720357,0.2755612078909231,0.89,0.74
46550,14351,20645,9643,18107,Chinatown,290031.0,34996,0.410075437192822,0.589924562807178,0.27554577666018976,0.75125,0.5375
59794,11006,29379,13624,22874,East Harlem South,461872.0,40385,0.27252692831496844,0.7274730716850316,0.3373529775906896,0.9025000000000001,0.655
84904,18542,40818,14104,27528,Elmhurst,788935.0,59360,0.3123652291105121,0.6876347708894879,0.2376010781671159,0.65,0.4
72864,4304,50178,38863,31068,Park Slope-Gowanus,1890499.0,54482,0.0789985683344958,0.9210014316655042,0.7133181601262802,0.69,0.4466666666666666
69382,13568,38614,14569,25643,Flushing,515667.0,52182,0.26001303131347975,0.7399869686865203,0.27919589130351463,0.745,0.595
36683,2600,21506,10762,13265,Kew Gardens Hills,522429.0,24106,0.1078569650709367,0.8921430349290633,0.4464448684974695,0.8266666666666667,0.7200000000000001
35325,7841,13706,3076,11448,West Farms-Bronx River,228883.0,21547,0.36390216735508424,0.6360978326449158,0.14275769248619297,0.44,0.28
31831,4847,14163,2674,11686,Ocean Hill,362434.0,19010,0.25497106785902157,0.7450289321409784,0.14066280904786954,0.56,0.4
55412,8733,23392,3181,20316,Brownsville,426336.0,32125,0.2718443579766537,0.7281556420233463,0.09901945525291829,0.6000000000000001,0.42
84694,4904,60759,35923,38771,Forest Hills,1825183.0,65663,0.07468437323911488,0.9253156267608851,0.5470813091086304,0.84,0.72
20352,4581,6542,1345,6912,Crotona Park East,155441.0,11123,0.41184932122628787,0.5881506787737121,0.12092061494201205,0.7033333333333335,0.4033333333333333
40059,3572,26436,21189,18761,SoHo-TriBeCa-Civic Center-Little Italy,1129924.0,30008,0.11903492402026127,0.8809650759797387,0.7061117035457212,0.85,0.56
75149,9965,47306,22615,34018,Astoria,1280677.0,57271,0.1739973110300152,0.8260026889699849,0.394876988353617,0.7666666666666666,0.5633333333333334
