School Year,Building Code,DBN,Location Code,Location Name,Major Crime,Other Crime,Non Criminal,Property Crime,Violent Crime,NTA
2013-14,K193,22K193,K193,P.S. 193 Gil Hodges,2.0,0.0,0.0,2.0,0.0,Midwood
2013-14,K194,22K194,K194,P.S. 194 Raoul Wallenberg,1.0,0.0,0.0,1.0,0.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2013-14,K196,0,0,207 BUSHWICK AVENUE CONSOLIDATED LOCATION,0.0,2.0,1.0,1.0,0.0,Bushwick South
2013-14,K197,0,0,1599 EAST  22 STREET CONSOLIDATED LOCATION,0.0,2.0,1.0,1.0,0.0,Midwood
2013-14,K200,20K200,K200,P.S. 200 Benson School,0.0,1.0,0.0,1.0,0.0,Bath Beach
2013-14,K201,20K201,K201,J.H.S. 201 The Dyker Heights,0.0,1.0,0.0,0.0,1.0,Dyker Heights
2013-14,K202,0,0,982 HEGEMAN AVENUE CONSOLIDATED LOCATION,1.0,2.0,13.0,2.0,1.0,East New York
2013-14,K203,22K203,K203,P.S. 203 Floyd Bennett School,2.0,3.0,1.0,2.0,2.0,Flatlands
2013-14,K206,22K206,K206,P.S. 206 Joseph F Lamb,1.0,1.0,1.0,1.0,1.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2013-14,K210,0,0,188 ROCHESTER AVENUE CONSOLIDATED LOCATION,0.0,1.0,2.0,1.0,0.0,Crown Heights North
2013-14,K211,0,0,1001 EAST 100 STREET CONSOLIDATED LOCATION,0.0,3.0,3.0,2.0,1.0,Canarsie
2013-14,K212,21K212,K212,P.S. 212 Lady Deborah Moody,0.0,0.0,1.0,0.0,0.0,Gravesend
2013-14,K213,19K213,K213,P.S. 213 New Lots,0.0,2.0,4.0,2.0,0.0,East New York
2013-14,K215,21K215,K215,P.S. 215 Morris H. Weiss,1.0,0.0,1.0,1.0,0.0,Homecrest
2013-14,K217,22K217,K217,P.S. 217 Colonel David Marcus School,1.0,1.0,0.0,1.0,1.0,Flatbush
