DBN,Grad_rate,Coll_rate,NTA,School Year
04M680,0.7,0.33,East Harlem South,2013-14
19K404,0.8,0.49,East New York,2013-14
19K409,0.93,0.62,East New York,2013-14
19K615,0.64,0.37,East New York,2013-14
19K504,0.52,0.25,East New York (Pennsylvania Ave),2013-14
19K507,0.71,0.34,East New York (Pennsylvania Ave),2013-14
19K510,0.58,0.48,East New York (Pennsylvania Ave),2013-14
19K660,0.5,0.26,East New York (Pennsylvania Ave),2013-14
12X684,0.62,0.41,East Tremont,2013-14
01M450,0.82,0.69,East Village,2013-14
14K449,0.99,0.97,East Williamsburg,2013-14
14K454,0.51,0.22,East Williamsburg,2013-14
24Q455,0.65,0.4,Elmhurst,2013-14
17K382,0.63,0.47,Erasmus,2013-14
17K408,0.68,0.24,Erasmus,2013-14
17K537,0.71,0.46,Erasmus,2013-14
17K539,0.75,0.38,Erasmus,2013-14
17K543,0.95,0.89,Erasmus,2013-14
27Q260,0.59,0.38,Far Rockaway-Bayswater,2013-14
22K405,0.89,0.74,Flatbush,2013-14
25Q281,0.92,0.8,Flushing,2013-14
25Q460,0.57,0.39,Flushing,2013-14
28Q440,0.84,0.72,Forest Hills,2013-14
13K265,0.66,0.36,Fort Greene,2013-14
13K430,0.98,0.91,Fort Greene,2013-14
02M047,0.69,0.62,Gramercy,2013-14
02M374,0.74,0.54,Gramercy,2013-14
02M407,0.9,0.84,Gramercy,2013-14
02M413,0.91,0.78,Gramercy,2013-14
02M420,0.9,0.76,Gramercy,2013-14
21K337,0.61,0.41,Gravesend,2013-14
21K348,0.83,0.4,Gravesend,2013-14
21K540,0.79,0.56,Gravesend,2013-14
29Q259,0.81,0.59,Hollis,2013-14
02M411,1.0,0.97,Hudson Yards-Chelsea-Flatiron-Union Square,2013-14
02M412,0.96,0.79,Hudson Yards-Chelsea-Flatiron-Union Square,2013-14
02M414,0.97,0.81,Hudson Yards-Chelsea-Flatiron-Union Square,2013-14
02M419,0.66,0.35,Hudson Yards-Chelsea-Flatiron-Union Square,2013-14
02M439,0.99,0.85,Hudson Yards-Chelsea-Flatiron-Union Square,2013-14
02M600,0.92,0.68,Hudson Yards-Chelsea-Flatiron-Union Square,2013-14
24Q264,0.91,0.73,Hunters Point-Sunnyside-West Maspeth,2013-14
24Q267,0.7,0.52,Hunters Point-Sunnyside-West Maspeth,2013-14
24Q299,0.99,0.86,Hunters Point-Sunnyside-West Maspeth,2013-14
24Q520,0.7,0.5,Hunters Point-Sunnyside-West Maspeth,2013-14
24Q530,0.82,0.64,Hunters Point-Sunnyside-West Maspeth,2013-14
24Q600,0.8,0.62,Hunters Point-Sunnyside-West Maspeth,2013-14
24Q610,0.94,0.82,Hunters Point-Sunnyside-West Maspeth,2013-14
30Q502,0.68,0.49,Hunters Point-Sunnyside-West Maspeth,2013-14
28Q687,1.0,0.89,Jamaica,2013-14
25Q425,0.66,0.51,Kew Gardens Hills,2013-14
25Q525,1.0,1.0,Kew Gardens Hills,2013-14
25Q670,0.82,0.65,Kew Gardens Hills,2013-14
02M416,1.0,0.89,Lenox Hill-Roosevelt Island,2013-14
02M449,0.75,0.47,Lenox Hill-Roosevelt Island,2013-14
02M459,0.71,0.52,Lenox Hill-Roosevelt Island,2013-14
02M519,0.95,0.76,Lenox Hill-Roosevelt Island,2013-14
03M299,0.72,0.44,Lincoln Square,2013-14
03M307,0.67,0.41,Lincoln Square,2013-14
03M479,0.99,0.84,Lincoln Square,2013-14
03M485,0.99,0.8,Lincoln Square,2013-14
03M492,0.72,0.48,Lincoln Square,2013-14
03M494,0.61,0.39,Lincoln Square,2013-14
