DBN,graduation_rate_2011,college_career_rate_2011,graduation_rate_2012,college_career_rate_2012,graduation_rate_2013,college_career_rate_2013,graduation_rate_2014,college_career_rate_2014,Address,Borough Name,Community Board,Council District ,Census Tract,NTA,Precinct,Population
02M500,0.655,0.527,0.7,0.5,0.68,0.4,0.68,0.28,111 EAST  33RD STREET,MANHATTAN,5.0,2.0,72,Murray Hill-Kips Bay,,
02M519,0.9520000000000001,0.75,0.956,0.821,0.96,0.81,0.95,0.76,317 EAST  67 STREET,MANHATTAN,8.0,5.0,118,Lenox Hill-Roosevelt Island,19.0,208259.0
02M520,0.6579999999999999,0.426,0.617,0.42200000000000004,0.51,0.43,0.51,0.36,411 PEARL STREET,MANHATTAN,1.0,1.0,29,Chinatown,5.0,52568.0
02M529,0.613,0.428,0.685,0.39799999999999996,0.66,0.43,0.61,0.45,120 WEST  46 STREET,MANHATTAN,5.0,4.0,119,Midtown-Midtown South,18.0,54066.0
02M531,0.8,0.36700000000000005,0.9129999999999999,0.625,0.96,0.61,0.98,0.71,123 WEST  43 STREET,MANHATTAN,5.0,4.0,119,Midtown-Midtown South,,
02M542,0.7759999999999999,0.48200000000000004,0.873,0.517,0.82,0.7,0.85,0.58,525 WEST  50TH STREET,MANHATTAN,4.0,3.0,135,Clinton,18.0,54066.0
02M543,0.722,0.34700000000000003,0.7929999999999999,0.478,0.85,0.58,0.82,0.47,350 GRAND STREET,MANHATTAN,3.0,1.0,18,Chinatown,7.0,56355.0
02M545,0.9740000000000001,0.87,0.925,0.948,0.98,0.88,0.96,0.83,350 GRAND STREET,MANHATTAN,3.0,1.0,18,Chinatown,7.0,56355.0
02M551,0.6890000000000001,0.442,0.86,0.544,0.71,0.71,0.76,0.51,"10 SOUTH STREET, SLIP 7",MANHATTAN,1.0,1.0,9,Battery Park City-Lower Manhattan,1.0,66679.0
02M580,0.608,0.574,0.7440000000000001,0.408,0.72,0.55,0.71,0.59,26 BROADWAY,MANHATTAN,1.0,1.0,9,Battery Park City-Lower Manhattan,1.0,66679.0
02M600,0.912,0.6970000000000001,0.89,0.642,0.91,0.66,0.92,0.68,225 WEST  24 STREET,MANHATTAN,4.0,3.0,91,Hudson Yards-Chelsea-Flatiron-Union Square,10.0,50180.0
02M615,0.597,0.251,0.727,0.253,0.8,0.41,0.85,0.56,131 AVENUE OF THE AMERICAS,MANHATTAN,2.0,3.0,37,SoHo-TriBeCa-Civic Center-Little Italy,1.0,66679.0
02M630,0.7909999999999999,0.505,0.8220000000000001,0.509,0.84,0.82,0.81,0.62,231-249 EAST 56 STREET,MANHATTAN,6.0,4.0,108,Turtle Bay-East Midtown,17.0,79126.0
02M655,0.759,0.466,0.687,0.46399999999999997,0.64,0.4,0.76,0.43,320 EAST  96 STREET,MANHATTAN,8.0,5.0,"15,601",Yorkville,19.0,208259.0
